Generation,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Honest,Corrupt,b,c,f,h,a,B,playerExplorationProbability,umpireExplorationProbability,imitationStrength,Completion
13000,0.2400,0.1400,0.3400,0.2800,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,13.0000%
14000,0.3000,0.1800,0.3600,0.1600,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,14.0000%
15000,0.2200,0.2800,0.2400,0.2600,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,15.0000%
16000,0.2400,0.3600,0.2000,0.2000,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,16.0000%
17000,0.3000,0.1400,0.2400,0.3200,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,17.0000%
18000,0.3000,0.2400,0.3000,0.1600,0.2000,0.8000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,18.0000%
19000,0.2200,0.2800,0.2800,0.2200,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,19.0000%
20000,0.3200,0.2400,0.2200,0.2200,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,20.0000%
21000,0.1800,0.2200,0.2800,0.3200,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,21.0000%
22000,0.1800,0.4000,0.2200,0.2000,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,22.0000%
23000,0.4000,0.1600,0.2200,0.2200,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,23.0000%
24000,0.2000,0.3000,0.2000,0.3000,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,24.0000%
25000,0.1400,0.3200,0.1800,0.3600,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,25.0000%
26000,0.3400,0.1800,0.2400,0.2400,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,26.0000%
27000,0.2600,0.2600,0.1800,0.3000,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,27.0000%
28000,0.1800,0.3400,0.2200,0.2600,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,28.0000%
29000,0.2000,0.3200,0.2800,0.2000,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,29.0000%
30000,0.2400,0.4000,0.1200,0.2400,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,30.0000%
31000,0.3000,0.1400,0.3200,0.2400,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,31.0000%
32000,0.2600,0.2400,0.1400,0.3600,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,32.0000%
33000,0.1800,0.3400,0.2800,0.2000,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,33.0000%
34000,0.3000,0.3200,0.1800,0.2000,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,34.0000%
35000,0.3200,0.1000,0.3600,0.2200,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,35.0000%
36000,0.1600,0.3200,0.3400,0.1800,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,36.0000%
37000,0.2600,0.3000,0.2200,0.2200,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,37.0000%
38000,0.3200,0.2400,0.1800,0.2600,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,38.0000%
39000,0.2800,0.2400,0.2200,0.2600,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,39.0000%
40000,0.3000,0.1800,0.2000,0.3200,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,40.0000%
41000,0.3000,0.2400,0.3000,0.1600,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,41.0000%
42000,0.3200,0.2800,0.2000,0.2000,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,42.0000%
43000,0.2800,0.2600,0.2400,0.2200,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,43.0000%
44000,0.2000,0.3000,0.2000,0.3000,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,44.0000%
45000,0.2400,0.2000,0.2200,0.3400,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,45.0000%
46000,0.1600,0.3200,0.3000,0.2200,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,46.0000%
47000,0.2200,0.2600,0.3400,0.1800,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,47.0000%
48000,0.2000,0.4000,0.1800,0.2200,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,48.0000%
49000,0.3200,0.2000,0.2800,0.2000,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,49.0000%
50000,0.3000,0.2400,0.2800,0.1800,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,50.0000%
51000,0.2000,0.2800,0.2400,0.2800,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,51.0000%
52000,0.3200,0.2600,0.2800,0.1400,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,52.0000%
53000,0.2800,0.3200,0.1800,0.2200,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,53.0000%
54000,0.2600,0.1600,0.2200,0.3600,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,54.0000%
55000,0.3000,0.3000,0.2800,0.1200,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,55.0000%
56000,0.1000,0.3200,0.2600,0.3200,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,56.0000%
57000,0.2600,0.1800,0.2400,0.3200,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,57.0000%
58000,0.2400,0.2400,0.3400,0.1800,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,58.0000%
59000,0.2200,0.2400,0.2000,0.3400,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,59.0000%
60000,0.1600,0.3000,0.2800,0.2600,0.2000,0.8000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,60.0000%
61000,0.2400,0.1600,0.2400,0.3600,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,61.0000%
62000,0.2000,0.3000,0.2800,0.2200,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,62.0000%
63000,0.3000,0.1200,0.2000,0.3800,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,63.0000%
64000,0.2400,0.2600,0.2200,0.2800,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,64.0000%
65000,0.2400,0.2400,0.2000,0.3200,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,65.0000%
66000,0.1200,0.2600,0.3200,0.3000,0.8000,0.2000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,66.0000%
67000,0.1600,0.2200,0.2400,0.3800,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,67.0000%
68000,0.2800,0.2200,0.2400,0.2600,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,68.0000%
69000,0.2800,0.2000,0.2200,0.3000,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,69.0000%
70000,0.2600,0.1600,0.3000,0.2800,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,70.0000%
71000,0.2400,0.2000,0.3200,0.2400,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,71.0000%
72000,0.3000,0.3000,0.1400,0.2600,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,72.0000%
73000,0.3600,0.1600,0.1600,0.3200,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,73.0000%
74000,0.2400,0.3600,0.2800,0.1200,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,74.0000%
75000,0.2000,0.3000,0.2600,0.2400,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,75.0000%
76000,0.1800,0.2800,0.2000,0.3400,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,76.0000%
77000,0.3000,0.1600,0.3400,0.2000,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,77.0000%
78000,0.1600,0.2800,0.3400,0.2200,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,78.0000%
79000,0.2000,0.2400,0.2800,0.2800,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,79.0000%
80000,0.3000,0.2800,0.2000,0.2200,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,80.0000%
81000,0.2200,0.3000,0.2400,0.2400,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,81.0000%
82000,0.2200,0.3200,0.2000,0.2600,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,82.0000%
83000,0.2200,0.2600,0.2400,0.2800,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,83.0000%
84000,0.2600,0.2800,0.1800,0.2800,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,84.0000%
85000,0.1200,0.3400,0.2800,0.2600,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,85.0000%
86000,0.3000,0.3600,0.2800,0.0600,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,86.0000%
87000,0.3000,0.3800,0.1200,0.2000,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,87.0000%
88000,0.2400,0.2000,0.3400,0.2200,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,88.0000%
89000,0.2800,0.2600,0.2800,0.1800,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,89.0000%
90000,0.1800,0.2600,0.3600,0.2000,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,90.0000%
91000,0.2800,0.2000,0.3400,0.1800,0.5000,0.5000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,91.0000%
92000,0.3000,0.1600,0.3600,0.1800,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,92.0000%
93000,0.3200,0.3600,0.1400,0.1800,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,93.0000%
94000,0.2000,0.2600,0.3800,0.1600,0.4000,0.6000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,94.0000%
95000,0.2400,0.2400,0.2400,0.2800,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,95.0000%
96000,0.4000,0.1800,0.2200,0.2000,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,96.0000%
97000,0.2600,0.3000,0.1800,0.2600,0.7000,0.3000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,97.0000%
98000,0.2000,0.3200,0.2400,0.2400,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,98.0000%
99000,0.1200,0.2000,0.3200,0.3600,0.6000,0.4000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,99.0000%
100000,0.2800,0.2200,0.3200,0.1800,0.3000,0.7000,1.0000,0.5000,0.2000,0.1000,2.0000,0.2000,0.0010,0.0050,10000000000.0000,100.0000%
