Generation,Honest,Corrupt,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Completion
7100,0.75,0.25,0.058,0.018,0.912,0.012,7.1%
7200,0.47,0.53,0.024,0.006,0.952,0.018,7.2%
7300,0.42,0.58,0.028,0.044,0.922,0.006,7.3%
7400,0.64,0.36,0.016,0.03,0.93,0.024,7.4%
7500,0.75,0.25,0.034,0.024,0.91,0.032,7.5%
7600,0.6,0.4,0.028,0.03,0.924,0.018,7.6%
7700,0.65,0.35,0.022,0.016,0.96,0.002,7.7%
7800,0.36,0.64,0.016,0.058,0.894,0.032,7.8%
7900,0.68,0.32,0.034,0.022,0.886,0.058,7.9%
8000,0.65,0.35,0.006,0.04,0.946,0.008,8%
8100,0.52,0.48,0.012,0.004,0.972,0.012,8.1%
8200,0.57,0.43,0.02,0.012,0.96,0.008,8.2%
8300,0.53,0.47,0.018,0.032,0.92,0.03,8.3%
8400,0.64,0.36,0.014,0.046,0.914,0.026,8.4%
8500,0.65,0.35,0.034,0.01,0.922,0.034,8.5%
8600,0.51,0.49,0.024,0.03,0.912,0.034,8.6%
8700,0.66,0.34,0.042,0.024,0.914,0.02,8.7%
8800,0.32,0.68,0.018,0.034,0.94,0.008,8.8%
8900,0.54,0.46,0.018,0.01,0.964,0.008,8.9%
9000,0.47,0.53,0.026,0.024,0.92,0.03,9%
9100,0.38,0.62,0.034,0.022,0.886,0.058,9.1%
9200,0.51,0.49,0.034,0.008,0.928,0.03,9.2%
9300,0.49,0.51,0.032,0.04,0.894,0.034,9.3%
9400,0.56,0.44,0.018,0.024,0.918,0.04,9.4%
9500,0.48,0.52,0.01,0.072,0.864,0.054,9.5%
9600,0.3,0.7,0.022,0.062,0.87,0.046,9.6%
9700,0.7,0.3,0.046,0.046,0.892,0.016,9.7%
9800,0.7,0.3,0.026,0.024,0.94,0.01,9.8%
9900,0.42,0.58,0.036,0.028,0.89,0.046,9.9%
10000,0.46,0.54,0.01,0.01,0.956,0.024,10%
10100,0.6,0.4,0.018,0.02,0.95,0.012,10.1%
10200,0.59,0.41,0.034,0,0.966,0,10.2%
10300,0.5,0.5,0.01,0.032,0.934,0.024,10.3%
10400,0.5,0.5,0.04,0.03,0.89,0.04,10.4%
10500,0.67,0.33,0.064,0.006,0.894,0.036,10.5%
10600,0.62,0.38,0.02,0.02,0.918,0.042,10.6%
10700,0.34,0.66,0.026,0.016,0.954,0.004,10.7%
10800,0.49,0.51,0.028,0.022,0.934,0.016,10.8%
10900,0.42,0.58,0.058,0.02,0.872,0.05,10.9%
11000,0.41,0.59,0.028,0.01,0.932,0.03,11%
11100,0.54,0.46,0.014,0.014,0.952,0.02,11.1%
11200,0.62,0.38,0.028,0.026,0.888,0.058,11.2%
11300,0.43,0.57,0.028,0.014,0.938,0.02,11.3%
11400,0.71,0.29,0.008,0.014,0.95,0.028,11.4%
11500,0.69,0.31,0.054,0.036,0.906,0.004,11.5%
11600,0.54,0.46,0.02,0.046,0.896,0.038,11.6%
11700,0.54,0.46,0.022,0.01,0.916,0.052,11.7%
11800,0.54,0.46,0.008,0.022,0.942,0.028,11.8%
11900,0.56,0.44,0.014,0.044,0.928,0.014,11.9%
12000,0.65,0.35,0.01,0.016,0.942,0.032,12%
12100,0.54,0.46,0.048,0.01,0.886,0.056,12.1%
12200,0.54,0.46,0.072,0.016,0.896,0.016,12.2%
12300,0.46,0.54,0.036,0.032,0.89,0.042,12.3%
12400,0.47,0.53,0.024,0.022,0.918,0.036,12.4%
12500,0.54,0.46,0.02,0.056,0.912,0.012,12.5%
12600,0.63,0.37,0.042,0.02,0.92,0.018,12.6%
12700,0.56,0.44,0.014,0.05,0.904,0.032,12.7%
12800,0.51,0.49,0.028,0.018,0.894,0.06,12.8%
12900,0.5,0.5,0.038,0.028,0.906,0.028,12.9%
13000,0.55,0.45,0.028,0.038,0.912,0.022,13%
13100,0.51,0.49,0.012,0.024,0.942,0.022,13.1%
13200,0.43,0.57,0.016,0.036,0.928,0.02,13.2%
13300,0.6,0.4,0.022,0.016,0.932,0.03,13.3%
13400,0.51,0.49,0.028,0.028,0.936,0.008,13.4%
13500,0.57,0.43,0.02,0.038,0.89,0.052,13.5%
13600,0.42,0.58,0.022,0.024,0.93,0.024,13.6%
13700,0.58,0.42,0.012,0.038,0.924,0.026,13.7%
13800,0.33,0.67,0.042,0.064,0.826,0.068,13.8%
13900,0.47,0.53,0.024,0.03,0.916,0.03,13.9%
14000,0.42,0.58,0.02,0.028,0.932,0.02,14%
14100,0.66,0.34,0.022,0.014,0.926,0.038,14.1%
14200,0.31,0.69,0.016,0.012,0.948,0.024,14.2%
14300,0.61,0.39,0.014,0.042,0.894,0.05,14.3%
14400,0.55,0.45,0.016,0.026,0.956,0.002,14.4%
14500,0.46,0.54,0.02,0.064,0.914,0.002,14.5%
14600,0.46,0.54,0.016,0.042,0.926,0.016,14.6%
14700,0.41,0.59,0.062,0.016,0.894,0.028,14.7%
14800,0.66,0.34,0.014,0.008,0.954,0.024,14.8%
14900,0.73,0.27,0.016,0.03,0.94,0.014,14.9%
15000,0.25,0.75,0.04,0.046,0.892,0.022,15%
15100,0.61,0.39,0.006,0.02,0.922,0.052,15.1%
15200,0.66,0.34,0.026,0.036,0.908,0.03,15.2%
15300,0.66,0.34,0.038,0.02,0.932,0.01,15.3%
15400,0.57,0.43,0.012,0.008,0.95,0.03,15.4%
15500,0.65,0.35,0.032,0.038,0.858,0.072,15.5%
15600,0.32,0.68,0.052,0.052,0.878,0.018,15.6%
15700,0.48,0.52,0.036,0.026,0.904,0.034,15.7%
15800,0.51,0.49,0.012,0.02,0.95,0.018,15.8%
15900,0.47,0.53,0.02,0.016,0.918,0.046,15.9%
16000,0.5,0.5,0.048,0.024,0.878,0.05,16%
16100,0.58,0.42,0.012,0.032,0.92,0.036,16.1%
16200,0.51,0.49,0.006,0.034,0.936,0.024,16.2%
16300,0.69,0.31,0.01,0.01,0.934,0.046,16.3%
16400,0.47,0.53,0.03,0.012,0.92,0.038,16.4%
16500,0.43,0.57,0.034,0.008,0.938,0.02,16.5%
16600,0.49,0.51,0.01,0.04,0.926,0.024,16.6%
16700,0.4,0.6,0.038,0.022,0.908,0.032,16.7%
16800,0.55,0.45,0.02,0.016,0.95,0.014,16.8%
16900,0.72,0.28,0.032,0.024,0.93,0.014,16.9%
17000,0.53,0.47,0.062,0.006,0.892,0.04,17%
17100,0.52,0.48,0.026,0.028,0.888,0.058,17.1%
17200,0.43,0.57,0.034,0.022,0.918,0.026,17.2%
17300,0.56,0.44,0.032,0.08,0.85,0.038,17.3%
17400,0.37,0.63,0.016,0.04,0.912,0.032,17.4%
17500,0.45,0.55,0.004,0.018,0.92,0.058,17.5%
17600,0.39,0.61,0.028,0.024,0.922,0.026,17.6%
17700,0.53,0.47,0.006,0.042,0.926,0.026,17.7%
17800,0.38,0.62,0.028,0.02,0.936,0.016,17.8%
17900,0.56,0.44,0.048,0.002,0.938,0.012,17.9%
18000,0.48,0.52,0.078,0.038,0.876,0.008,18%
18100,0.42,0.58,0.01,0.022,0.928,0.04,18.1%
18200,0.66,0.34,0.028,0.034,0.91,0.028,18.2%
18300,0.47,0.53,0.04,0.012,0.92,0.028,18.3%
18400,0.74,0.26,0.018,0.01,0.962,0.01,18.4%
18500,0.39,0.61,0.022,0.03,0.88,0.068,18.5%
18600,0.6,0.4,0.044,0.01,0.912,0.034,18.6%
18700,0.61,0.39,0.024,0.038,0.894,0.044,18.7%
18800,0.55,0.45,0.026,0.012,0.956,0.006,18.8%
18900,0.61,0.39,0.012,0.026,0.952,0.01,18.9%
19000,0.52,0.48,0.036,0.016,0.924,0.024,19%
19100,0.39,0.61,0.018,0.022,0.944,0.016,19.1%
19200,0.57,0.43,0.038,0.022,0.932,0.008,19.2%
19300,0.52,0.48,0.03,0.028,0.928,0.014,19.3%
19400,0.64,0.36,0.024,0.022,0.914,0.04,19.4%
19500,0.37,0.63,0.042,0.05,0.902,0.006,19.5%
19600,0.41,0.59,0.028,0.022,0.936,0.014,19.6%
19700,0.4,0.6,0.046,0.024,0.908,0.022,19.7%
19800,0.59,0.41,0.02,0.026,0.91,0.044,19.8%
19900,0.62,0.38,0.026,0.028,0.924,0.022,19.9%
20000,0.46,0.54,0.032,0.024,0.898,0.046,20%
20100,0.42,0.58,0.026,0.024,0.918,0.032,20.1%
20200,0.57,0.43,0.012,0.048,0.894,0.046,20.2%
20300,0.45,0.55,0.026,0.034,0.918,0.022,20.3%
20400,0.41,0.59,0.034,0.016,0.886,0.064,20.4%
20500,0.71,0.29,0.028,0.03,0.9,0.042,20.5%
20600,0.51,0.49,0.048,0.03,0.89,0.032,20.6%
20700,0.68,0.32,0.018,0.034,0.94,0.008,20.7%
20800,0.26,0.74,0.026,0.014,0.928,0.032,20.8%
20900,0.36,0.64,0.046,0.018,0.87,0.066,20.9%
21000,0.52,0.48,0.022,0.03,0.912,0.036,21%
21100,0.59,0.41,0.024,0.014,0.92,0.042,21.1%
21200,0.56,0.44,0.008,0.016,0.94,0.036,21.2%
21300,0.51,0.49,0.022,0.02,0.914,0.044,21.3%
21400,0.61,0.39,0.054,0.01,0.932,0.004,21.4%
21500,0.5,0.5,0.01,0.004,0.954,0.032,21.5%
21600,0.54,0.46,0.014,0.024,0.934,0.028,21.6%
21700,0.48,0.52,0.032,0.016,0.932,0.02,21.7%
21800,0.56,0.44,0.016,0.012,0.966,0.006,21.8%
21900,0.46,0.54,0.018,0.02,0.946,0.016,21.9%
22000,0.41,0.59,0.02,0.014,0.948,0.018,22%
22100,0.42,0.58,0.04,0.032,0.874,0.054,22.1%
22200,0.65,0.35,0.008,0.044,0.928,0.02,22.2%
22300,0.55,0.45,0.028,0.014,0.946,0.012,22.3%
22400,0.47,0.53,0.012,0.024,0.946,0.018,22.4%
22500,0.8,0.2,0.012,0.03,0.914,0.044,22.5%
22600,0.32,0.68,0.008,0.032,0.946,0.014,22.6%
22700,0.71,0.29,0.018,0.022,0.936,0.024,22.7%
22800,0.64,0.36,0.028,0.024,0.938,0.01,22.8%
22900,0.57,0.43,0.016,0.032,0.92,0.032,22.9%
23000,0.58,0.42,0.034,0.012,0.916,0.038,23%
23100,0.38,0.62,0.042,0.018,0.928,0.012,23.1%
23200,0.4,0.6,0.008,0.032,0.94,0.02,23.2%
23300,0.46,0.54,0.032,0.046,0.914,0.008,23.3%
23400,0.42,0.58,0.042,0.022,0.884,0.052,23.4%
23500,0.59,0.41,0.034,0.058,0.89,0.018,23.5%
23600,0.58,0.42,0.026,0.038,0.91,0.026,23.6%
23700,0.52,0.48,0.016,0.016,0.962,0.006,23.7%
23800,0.67,0.33,0.05,0.01,0.93,0.01,23.8%
23900,0.57,0.43,0.064,0.024,0.89,0.022,23.9%
24000,0.64,0.36,0.02,0.014,0.94,0.026,24%
24100,0.37,0.63,0.044,0.004,0.934,0.018,24.1%
24200,0.57,0.43,0.014,0.026,0.938,0.022,24.2%
24300,0.58,0.42,0.02,0.036,0.904,0.04,24.3%
24400,0.69,0.31,0.014,0.018,0.942,0.026,24.4%
24500,0.61,0.39,0.044,0.016,0.894,0.046,24.5%
24600,0.45,0.55,0.054,0.022,0.91,0.014,24.6%
24700,0.51,0.49,0.032,0.02,0.936,0.012,24.7%
24800,0.6,0.4,0.05,0.018,0.896,0.036,24.8%
24900,0.46,0.54,0.034,0.024,0.9,0.042,24.9%
25000,0.37,0.63,0.024,0.028,0.932,0.016,25%
25100,0.61,0.39,0.016,0.016,0.916,0.052,25.1%
25200,0.48,0.52,0.016,0.016,0.924,0.044,25.2%
25300,0.71,0.29,0.022,0.022,0.91,0.046,25.3%
25400,0.47,0.53,0.036,0.024,0.914,0.026,25.4%
25500,0.42,0.58,0.016,0.032,0.922,0.03,25.5%
25600,0.7,0.3,0.02,0.03,0.938,0.012,25.6%
25700,0.44,0.56,0.012,0.02,0.94,0.028,25.7%
25800,0.43,0.57,0.034,0.034,0.91,0.022,25.8%
25900,0.43,0.57,0.036,0.042,0.9,0.022,25.9%
26000,0.68,0.32,0.002,0.016,0.958,0.024,26%
26100,0.34,0.66,0.026,0.03,0.912,0.032,26.1%
26200,0.53,0.47,0.06,0.026,0.902,0.012,26.2%
26300,0.56,0.44,0.066,0.016,0.892,0.026,26.3%
26400,0.44,0.56,0.036,0.012,0.938,0.014,26.4%
26500,0.49,0.51,0.038,0.016,0.892,0.054,26.5%
26600,0.57,0.43,0.014,0.022,0.914,0.05,26.6%
26700,0.4,0.6,0.012,0.02,0.936,0.032,26.7%
26800,0.33,0.67,0.008,0.108,0.842,0.042,26.8%
26900,0.59,0.41,0.024,0.048,0.894,0.034,26.9%
27000,0.58,0.42,0.018,0.038,0.922,0.022,27%
27100,0.76,0.24,0.052,0.026,0.898,0.024,27.1%
27200,0.56,0.44,0.05,0.03,0.91,0.01,27.2%
27300,0.53,0.47,0.038,0.01,0.942,0.01,27.3%
27400,0.6,0.4,0.022,0.04,0.924,0.014,27.4%
27500,0.43,0.57,0.028,0.054,0.892,0.026,27.5%
27600,0.51,0.49,0.014,0.03,0.922,0.034,27.6%
27700,0.68,0.32,0.018,0.008,0.946,0.028,27.7%
27800,0.44,0.56,0.026,0.01,0.95,0.014,27.8%
27900,0.32,0.68,0.044,0.044,0.892,0.02,27.9%
28000,0.43,0.57,0.02,0.066,0.882,0.032,28%
28100,0.51,0.49,0.024,0.02,0.94,0.016,28.1%
28200,0.56,0.44,0.036,0.028,0.886,0.05,28.2%
28300,0.26,0.74,0.022,0.014,0.918,0.046,28.3%
28400,0.6,0.4,0.042,0.032,0.88,0.046,28.4%
28500,0.49,0.51,0.026,0.018,0.902,0.054,28.5%
28600,0.55,0.45,0.034,0.026,0.908,0.032,28.6%
28700,0.67,0.33,0.034,0.016,0.894,0.056,28.7%
28800,0.57,0.43,0.018,0.056,0.876,0.05,28.8%
28900,0.53,0.47,0.034,0.038,0.878,0.05,28.9%
29000,0.47,0.53,0.016,0.034,0.922,0.028,29%
29100,0.5,0.5,0.026,0.068,0.882,0.024,29.1%
29200,0.61,0.39,0.012,0.026,0.928,0.034,29.2%
29300,0.57,0.43,0.08,0.042,0.866,0.012,29.3%
29400,0.6,0.4,0.018,0.012,0.952,0.018,29.4%
29500,0.41,0.59,0.042,0.02,0.902,0.036,29.5%
29600,0.45,0.55,0.05,0.032,0.888,0.03,29.6%
29700,0.59,0.41,0.016,0.012,0.968,0.004,29.7%
29800,0.59,0.41,0.03,0.042,0.916,0.012,29.8%
29900,0.36,0.64,0.018,0.028,0.896,0.058,29.9%
30000,0.53,0.47,0.038,0.064,0.87,0.028,30%
30100,0.45,0.55,0.036,0.012,0.952,0,30.1%
30200,0.52,0.48,0.062,0.018,0.88,0.04,30.2%
30300,0.62,0.38,0.036,0.006,0.944,0.014,30.3%
30400,0.61,0.39,0.046,0.04,0.884,0.03,30.4%
30500,0.67,0.33,0.028,0.02,0.932,0.02,30.5%
30600,0.54,0.46,0.028,0.014,0.936,0.022,30.6%
30700,0.54,0.46,0.01,0.018,0.958,0.014,30.7%
30800,0.49,0.51,0.01,0.014,0.956,0.02,30.8%
30900,0.41,0.59,0.028,0.006,0.912,0.054,30.9%
31000,0.53,0.47,0.018,0.008,0.954,0.02,31%
31100,0.66,0.34,0.008,0.024,0.916,0.052,31.1%
31200,0.34,0.66,0.022,0.018,0.94,0.02,31.2%
31300,0.55,0.45,0.026,0.056,0.888,0.03,31.3%
31400,0.66,0.34,0.018,0.038,0.924,0.02,31.4%
31500,0.63,0.37,0.028,0.02,0.95,0.002,31.5%
31600,0.43,0.57,0.016,0.056,0.91,0.018,31.6%
31700,0.57,0.43,0.034,0.022,0.926,0.018,31.7%
31800,0.67,0.33,0.004,0.018,0.956,0.022,31.8%
31900,0.6,0.4,0.008,0.04,0.936,0.016,31.9%
32000,0.57,0.43,0.032,0.008,0.912,0.048,32%
32100,0.51,0.49,0.03,0.024,0.906,0.04,32.1%
32200,0.33,0.67,0.018,0.03,0.934,0.018,32.2%
32300,0.69,0.31,0.006,0.068,0.896,0.03,32.3%
32400,0.62,0.38,0.03,0.054,0.912,0.004,32.4%
32500,0.51,0.49,0.038,0.086,0.836,0.04,32.5%
32600,0.35,0.65,0.018,0.022,0.936,0.024,32.6%
32700,0.62,0.38,0.012,0.036,0.942,0.01,32.7%
32800,0.42,0.58,0.016,0.008,0.958,0.018,32.8%
32900,0.57,0.43,0.028,0.018,0.924,0.03,32.9%
33000,0.32,0.68,0,0.046,0.928,0.026,33%
33100,0.57,0.43,0.03,0.018,0.92,0.032,33.1%
33200,0.4,0.6,0.01,0.02,0.934,0.036,33.2%
33300,0.66,0.34,0.036,0.016,0.932,0.016,33.3%
33400,0.51,0.49,0.014,0.044,0.922,0.02,33.4%
33500,0.51,0.49,0.026,0.018,0.944,0.012,33.5%
33600,0.34,0.66,0.024,0.048,0.854,0.074,33.6%
33700,0.59,0.41,0.042,0.028,0.926,0.004,33.7%
33800,0.58,0.42,0.018,0.054,0.918,0.01,33.8%
33900,0.25,0.75,0.006,0.024,0.928,0.042,33.9%
34000,0.7,0.3,0.064,0.034,0.87,0.032,34%
34100,0.3,0.7,0.018,0.044,0.906,0.032,34.1%
34200,0.59,0.41,0.004,0.026,0.932,0.038,34.2%
34300,0.7,0.3,0.014,0.028,0.944,0.014,34.3%
34400,0.55,0.45,0.022,0.06,0.886,0.032,34.4%
34500,0.55,0.45,0.014,0.022,0.954,0.01,34.5%
34600,0.42,0.58,0.014,0.052,0.898,0.036,34.6%
34700,0.43,0.57,0.02,0.028,0.942,0.01,34.7%
34800,0.62,0.38,0.022,0.082,0.882,0.014,34.8%
34900,0.7,0.3,0.014,0.056,0.914,0.016,34.9%
35000,0.33,0.67,0.026,0.042,0.922,0.01,35%
35100,0.6,0.4,0.022,0.014,0.926,0.038,35.1%
35200,0.58,0.42,0.032,0.022,0.918,0.028,35.2%
35300,0.5,0.5,0.024,0.024,0.938,0.014,35.3%
35400,0.67,0.33,0.02,0.002,0.956,0.022,35.4%
35500,0.44,0.56,0.026,0.034,0.906,0.034,35.5%
35600,0.48,0.52,0.016,0.018,0.938,0.028,35.6%
35700,0.43,0.57,0.012,0.028,0.92,0.04,35.7%
35800,0.4,0.6,0.024,0.014,0.944,0.018,35.8%
35900,0.59,0.41,0.096,0.036,0.842,0.026,35.9%
36000,0.6,0.4,0.028,0.066,0.852,0.054,36%
36100,0.42,0.58,0.026,0.03,0.93,0.014,36.1%
36200,0.65,0.35,0.02,0.01,0.946,0.024,36.2%
36300,0.53,0.47,0.018,0.122,0.824,0.036,36.3%
36400,0.51,0.49,0.028,0.032,0.91,0.03,36.4%
36500,0.48,0.52,0.018,0.028,0.936,0.018,36.5%
36600,0.4,0.6,0.028,0.032,0.922,0.018,36.6%
36700,0.43,0.57,0.02,0.01,0.928,0.042,36.7%
36800,0.59,0.41,0.03,0.016,0.928,0.026,36.8%
36900,0.54,0.46,0.012,0.026,0.936,0.026,36.9%
37000,0.53,0.47,0.022,0.03,0.918,0.03,37%
37100,0.41,0.59,0.028,0.01,0.95,0.012,37.1%
37200,0.59,0.41,0.01,0.036,0.93,0.024,37.2%
37300,0.54,0.46,0.042,0.006,0.928,0.024,37.3%
37400,0.5,0.5,0.028,0.012,0.936,0.024,37.4%
37500,0.45,0.55,0.102,0.04,0.814,0.044,37.5%
37600,0.46,0.54,0.028,0.028,0.93,0.014,37.6%
37700,0.49,0.51,0.03,0.016,0.932,0.022,37.7%
37800,0.41,0.59,0.036,0.01,0.914,0.04,37.8%
37900,0.47,0.53,0.024,0.014,0.958,0.004,37.9%
38000,0.56,0.44,0.02,0.02,0.934,0.026,38%
38100,0.63,0.37,0.01,0.024,0.95,0.016,38.1%
38200,0.5,0.5,0.02,0.056,0.902,0.022,38.2%
38300,0.56,0.44,0.018,0.032,0.94,0.01,38.3%
38400,0.48,0.52,0.022,0.02,0.942,0.016,38.4%
38500,0.42,0.58,0.02,0.02,0.922,0.038,38.5%
38600,0.54,0.46,0.034,0.02,0.846,0.1,38.6%
38700,0.58,0.42,0.008,0.036,0.918,0.038,38.7%
38800,0.34,0.66,0.038,0.028,0.918,0.016,38.8%
38900,0.3,0.7,0.032,0.028,0.924,0.016,38.9%
39000,0.48,0.52,0.014,0.016,0.906,0.064,39%
39100,0.53,0.47,0.018,0.036,0.94,0.006,39.1%
39200,0.61,0.39,0.006,0.034,0.946,0.014,39.2%
39300,0.62,0.38,0.016,0.026,0.934,0.024,39.3%
39400,0.45,0.55,0.004,0.012,0.97,0.014,39.4%
39500,0.64,0.36,0.022,0.02,0.942,0.016,39.5%
39600,0.56,0.44,0.014,0.012,0.946,0.028,39.6%
39700,0.4,0.6,0.03,0.048,0.904,0.018,39.7%
39800,0.55,0.45,0.022,0.03,0.94,0.008,39.8%
39900,0.47,0.53,0.032,0.044,0.878,0.046,39.9%
40000,0.64,0.36,0.026,0.028,0.912,0.034,40%
40100,0.53,0.47,0.018,0.026,0.932,0.024,40.1%
40200,0.59,0.41,0.044,0.04,0.864,0.052,40.2%
40300,0.67,0.33,0.032,0.03,0.916,0.022,40.3%
40400,0.57,0.43,0.004,0.018,0.936,0.042,40.4%
40500,0.5,0.5,0,0.022,0.958,0.02,40.5%
40600,0.58,0.42,0.016,0.034,0.916,0.034,40.6%
40700,0.48,0.52,0.026,0.034,0.924,0.016,40.7%
40800,0.52,0.48,0.026,0.01,0.932,0.032,40.8%
40900,0.56,0.44,0.018,0.03,0.922,0.03,40.9%
41000,0.61,0.39,0.036,0.032,0.89,0.042,41%
41100,0.55,0.45,0.028,0.002,0.948,0.022,41.1%
41200,0.65,0.35,0.034,0.02,0.936,0.01,41.2%
41300,0.39,0.61,0.012,0.01,0.958,0.02,41.3%
41400,0.44,0.56,0.018,0.018,0.926,0.038,41.4%
41500,0.51,0.49,0.042,0.03,0.9,0.028,41.5%
41600,0.54,0.46,0.032,0.038,0.91,0.02,41.6%
41700,0.73,0.27,0.046,0.038,0.908,0.008,41.7%
41800,0.35,0.65,0.014,0.018,0.924,0.044,41.8%
41900,0.46,0.54,0.028,0.006,0.874,0.092,41.9%
42000,0.47,0.53,0.016,0.044,0.922,0.018,42%
42100,0.27,0.73,0.026,0.034,0.924,0.016,42.1%
42200,0.42,0.58,0.03,0.028,0.902,0.04,42.2%
42300,0.56,0.44,0.026,0.03,0.914,0.03,42.3%
42400,0.68,0.32,0.028,0.016,0.94,0.016,42.4%
42500,0.5,0.5,0.058,0.026,0.91,0.006,42.5%
42600,0.73,0.27,0.052,0.028,0.906,0.014,42.6%
42700,0.65,0.35,0.026,0.02,0.92,0.034,42.7%
42800,0.5,0.5,0.04,0.034,0.902,0.024,42.8%
42900,0.53,0.47,0.032,0.01,0.942,0.016,42.9%
43000,0.31,0.69,0.036,0.03,0.908,0.026,43%
43100,0.51,0.49,0.018,0.032,0.904,0.046,43.1%
43200,0.33,0.67,0.028,0.022,0.934,0.016,43.2%
43300,0.52,0.48,0.034,0.02,0.928,0.018,43.3%
43400,0.32,0.68,0.032,0.044,0.916,0.008,43.4%
43500,0.52,0.48,0.028,0.016,0.932,0.024,43.5%
43600,0.25,0.75,0.03,0.012,0.938,0.02,43.6%
