Generation,Honest,Corrupt,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Completion
40000,1,0,0.26,0.24,0.26,0.24,13.3333%
41000,0,1,0.26,0.18,0.26,0.3,13.6667%
42000,0.1,0.9,0.24,0.34,0.3,0.12,14%
43000,1,0,0.32,0.14,0.18,0.36,14.3333%
44000,0,1,0.18,0.22,0.3,0.3,14.6667%
45000,1,0,0.24,0.26,0.22,0.28,15%
46000,1,0,0.32,0.2,0.24,0.24,15.3333%
47000,1,0,0.24,0.22,0.2,0.34,15.6667%
48000,1,0,0.26,0.22,0.34,0.18,16%
49000,0.9,0.1,0.3,0.26,0.18,0.26,16.3333%
50000,1,0,0.34,0.2,0.3,0.16,16.6667%
51000,0,1,0.18,0.24,0.28,0.3,17%
52000,0,1,0.26,0.26,0.22,0.26,17.3333%
53000,0,1,0.28,0.28,0.2,0.24,17.6667%
54000,0,1,0.12,0.32,0.34,0.22,18%
55000,0,1,0.22,0.22,0.24,0.32,18.3333%
56000,0.5,0.5,0.24,0.26,0.22,0.28,18.6667%
57000,0,1,0.24,0.2,0.3,0.26,19%
58000,0,1,0.26,0.24,0.3,0.2,19.3333%
59000,0,1,0.26,0.26,0.24,0.24,19.6667%
60000,1,0,0.28,0.3,0.3,0.12,20%
61000,1,0,0.28,0.34,0.2,0.18,20.3333%
62000,1,0,0.18,0.34,0.2,0.28,20.6667%
63000,1,0,0.24,0.26,0.26,0.24,21%
64000,1,0,0.32,0.32,0.14,0.22,21.3333%
65000,1,0,0.22,0.28,0.2,0.3,21.6667%
66000,1,0,0.3,0.2,0.22,0.28,22%
67000,0,1,0.22,0.28,0.26,0.24,22.3333%
68000,1,0,0.34,0.34,0.2,0.12,22.6667%
69000,0,1,0.18,0.26,0.24,0.32,23%
70000,0,1,0.24,0.32,0.14,0.3,23.3333%
71000,0.9,0.1,0.2,0.24,0.28,0.28,23.6667%
72000,0.2,0.8,0.2,0.2,0.3,0.3,24%
73000,0,1,0.2,0.28,0.26,0.26,24.3333%
74000,0.7,0.3,0.18,0.26,0.26,0.3,24.6667%
75000,1,0,0.3,0.24,0.24,0.22,25%
76000,0,1,0.24,0.22,0.18,0.36,25.3333%
77000,0.7,0.3,0.3,0.3,0.26,0.14,25.6667%
78000,1,0,0.22,0.16,0.28,0.34,26%
79000,1,0,0.2,0.24,0.3,0.26,26.3333%
80000,1,0,0.26,0.24,0.3,0.2,26.6667%
81000,1,0,0.18,0.4,0.24,0.18,27%
82000,0.2,0.8,0.26,0.14,0.38,0.22,27.3333%
83000,0.3,0.7,0.42,0.12,0.26,0.2,27.6667%
84000,1,0,0.24,0.34,0.2,0.22,28%
85000,0,1,0.26,0.2,0.22,0.32,28.3333%
86000,1,0,0.24,0.18,0.34,0.24,28.6667%
87000,1,0,0.28,0.32,0.22,0.18,29%
88000,1,0,0.2,0.36,0.2,0.24,29.3333%
89000,0,1,0.24,0.2,0.38,0.18,29.6667%
90000,0.2,0.8,0.24,0.32,0.22,0.22,30%
91000,1,0,0.32,0.28,0.22,0.18,30.3333%
92000,1,0,0.12,0.38,0.3,0.2,30.6667%
93000,0,1,0.36,0.16,0.26,0.22,31%
94000,0,1,0.26,0.3,0.16,0.28,31.3333%
95000,1,0,0.2,0.32,0.22,0.26,31.6667%
96000,1,0,0.36,0.24,0.16,0.24,32%
97000,0,1,0.36,0.26,0.18,0.2,32.3333%
98000,0.1,0.9,0.3,0.24,0.16,0.3,32.6667%
99000,0.2,0.8,0.2,0.2,0.42,0.18,33%
100000,0,1,0.22,0.38,0.24,0.16,33.3333%
101000,1,0,0.26,0.3,0.14,0.3,33.6667%
102000,0,1,0.3,0.18,0.24,0.28,34%
103000,1,0,0.3,0.22,0.22,0.26,34.3333%
104000,1,0,0.32,0.16,0.26,0.26,34.6667%
105000,1,0,0.24,0.3,0.2,0.26,35%
106000,0,1,0.26,0.3,0.28,0.16,35.3333%
107000,0,1,0.2,0.28,0.32,0.2,35.6667%
108000,0,1,0.18,0.24,0.22,0.36,36%
109000,1,0,0.2,0.28,0.18,0.34,36.3333%
110000,1,0,0.24,0.34,0.18,0.24,36.6667%
111000,0,1,0.16,0.3,0.32,0.22,37%
112000,1,0,0.36,0.16,0.32,0.16,37.3333%
113000,0,1,0.28,0.26,0.18,0.28,37.6667%
114000,0,1,0.1,0.34,0.28,0.28,38%
115000,1,0,0.22,0.18,0.3,0.3,38.3333%
116000,1,0,0.26,0.32,0.26,0.16,38.6667%
117000,1,0,0.22,0.16,0.28,0.34,39%
118000,0.2,0.8,0.28,0.26,0.26,0.2,39.3333%
119000,0,1,0.26,0.34,0.26,0.14,39.6667%
120000,1,0,0.34,0.34,0.08,0.24,40%
121000,0,1,0.34,0.14,0.26,0.26,40.3333%
122000,1,0,0.2,0.18,0.42,0.2,40.6667%
123000,0,1,0.22,0.24,0.32,0.22,41%
124000,1,0,0.28,0.22,0.26,0.24,41.3333%
125000,1,0,0.28,0.22,0.34,0.16,41.6667%
126000,1,0,0.34,0.24,0.22,0.2,42%
127000,1,0,0.16,0.26,0.22,0.36,42.3333%
128000,1,0,0.36,0.2,0.3,0.14,42.6667%
129000,0,1,0.36,0.22,0.24,0.18,43%
130000,1,0,0.26,0.2,0.28,0.26,43.3333%
131000,1,0,0.24,0.28,0.2,0.28,43.6667%
132000,0,1,0.3,0.24,0.18,0.28,44%
133000,0,1,0.36,0.16,0.18,0.3,44.3333%
134000,0.8,0.2,0.32,0.24,0.28,0.16,44.6667%
135000,0,1,0.24,0.18,0.2,0.38,45%
136000,1,0,0.18,0.36,0.18,0.28,45.3333%
137000,0,1,0.36,0.18,0.3,0.16,45.6667%
138000,0.5,0.5,0.24,0.26,0.18,0.32,46%
139000,1,0,0.24,0.3,0.26,0.2,46.3333%
140000,1,0,0.24,0.22,0.26,0.28,46.6667%
141000,1,0,0.2,0.24,0.22,0.34,47%
142000,1,0,0.28,0.24,0.24,0.24,47.3333%
143000,1,0,0.26,0.24,0.26,0.24,47.6667%
144000,1,0,0.3,0.36,0.2,0.14,48%
145000,1,0,0.18,0.26,0.32,0.24,48.3333%
146000,0.9,0.1,0.24,0.28,0.26,0.22,48.6667%
147000,1,0,0.28,0.28,0.24,0.2,49%
148000,1,0,0.28,0.24,0.26,0.22,49.3333%
149000,0,1,0.18,0.3,0.36,0.16,49.6667%
150000,1,0,0.26,0.22,0.32,0.2,50%
151000,1,0,0.32,0.26,0.26,0.16,50.3333%
152000,0,1,0.24,0.24,0.28,0.24,50.6667%
153000,0.8,0.2,0.26,0.26,0.28,0.2,51%
154000,1,0,0.26,0.18,0.22,0.34,51.3333%
155000,0,1,0.28,0.2,0.36,0.16,51.6667%
156000,1,0,0.2,0.28,0.24,0.28,52%
157000,1,0,0.26,0.28,0.22,0.24,52.3333%
158000,0,1,0.32,0.22,0.24,0.22,52.6667%
159000,1,0,0.2,0.22,0.3,0.28,53%
160000,0,1,0.22,0.34,0.2,0.24,53.3333%
161000,0,1,0.22,0.2,0.3,0.28,53.6667%
162000,1,0,0.22,0.3,0.36,0.12,54%
163000,1,0,0.12,0.26,0.36,0.26,54.3333%
164000,0.4,0.6,0.32,0.18,0.32,0.18,54.6667%
165000,1,0,0.24,0.2,0.4,0.16,55%
166000,0,1,0.26,0.34,0.2,0.2,55.3333%
167000,1,0,0.36,0.24,0.22,0.18,55.6667%
168000,1,0,0.22,0.26,0.24,0.28,56%
169000,0.1,0.9,0.28,0.26,0.22,0.24,56.3333%
170000,0.5,0.5,0.22,0.2,0.28,0.3,56.6667%
171000,1,0,0.24,0.24,0.24,0.28,57%
172000,0,1,0.38,0.18,0.24,0.2,57.3333%
173000,1,0,0.24,0.34,0.24,0.18,57.6667%
174000,0,1,0.18,0.26,0.28,0.28,58%
175000,0.8,0.2,0.38,0.2,0.26,0.16,58.3333%
176000,1,0,0.26,0.28,0.22,0.24,58.6667%
177000,0,1,0.32,0.28,0.2,0.2,59%
178000,1,0,0.36,0.26,0.22,0.16,59.3333%
179000,1,0,0.2,0.2,0.44,0.16,59.6667%
180000,1,0,0.32,0.32,0.2,0.16,60%
181000,1,0,0.22,0.26,0.28,0.24,60.3333%
182000,0.7,0.3,0.28,0.16,0.32,0.24,60.6667%
183000,0,1,0.2,0.3,0.22,0.28,61%
184000,0,1,0.22,0.26,0.24,0.28,61.3333%
185000,0,1,0.3,0.2,0.24,0.26,61.6667%
186000,0.7,0.3,0.3,0.22,0.2,0.28,62%
187000,0,1,0.34,0.26,0.12,0.28,62.3333%
188000,0,1,0.28,0.24,0.22,0.26,62.6667%
189000,0,1,0.36,0.22,0.2,0.22,63%
190000,0,1,0.2,0.26,0.26,0.28,63.3333%
191000,0,1,0.24,0.34,0.18,0.24,63.6667%
192000,0.1,0.9,0.42,0.26,0.16,0.16,64%
193000,0,1,0.18,0.24,0.26,0.32,64.3333%
194000,1,0,0.2,0.32,0.28,0.2,64.6667%
195000,0,1,0.14,0.26,0.44,0.16,65%
196000,0.4,0.6,0.24,0.3,0.1,0.36,65.3333%
197000,0,1,0.2,0.24,0.22,0.34,65.6667%
198000,0.1,0.9,0.34,0.24,0.28,0.14,66%
199000,0,1,0.22,0.08,0.36,0.34,66.3333%
200000,0.5,0.5,0.2,0.36,0.18,0.26,66.6667%
201000,0,1,0.26,0.34,0.22,0.18,67%
202000,0,1,0.26,0.24,0.24,0.26,67.3333%
203000,1,0,0.3,0.3,0.06,0.34,67.6667%
204000,1,0,0.12,0.26,0.3,0.32,68%
205000,1,0,0.22,0.26,0.24,0.28,68.3333%
206000,0,1,0.22,0.24,0.3,0.24,68.6667%
207000,0.7,0.3,0.32,0.18,0.16,0.34,69%
208000,1,0,0.12,0.22,0.42,0.24,69.3333%
209000,0.7,0.3,0.28,0.24,0.24,0.24,69.6667%
210000,1,0,0.3,0.2,0.22,0.28,70%
211000,1,0,0.1,0.26,0.36,0.28,70.3333%
212000,1,0,0.24,0.12,0.34,0.3,70.6667%
213000,0,1,0.26,0.24,0.22,0.28,71%
214000,1,0,0.18,0.18,0.4,0.24,71.3333%
215000,0.3,0.7,0.32,0.28,0.26,0.14,71.6667%
216000,0,1,0.2,0.16,0.38,0.26,72%
217000,1,0,0.22,0.32,0.26,0.2,72.3333%
218000,0,1,0.38,0.18,0.2,0.24,72.6667%
219000,0,1,0.34,0.28,0.22,0.16,73%
220000,0.9,0.1,0.32,0.22,0.28,0.18,73.3333%
221000,0.8,0.2,0.22,0.22,0.28,0.28,73.6667%
222000,0.6,0.4,0.18,0.2,0.34,0.28,74%
223000,1,0,0.2,0.22,0.18,0.4,74.3333%
224000,1,0,0.18,0.26,0.26,0.3,74.6667%
225000,1,0,0.28,0.22,0.34,0.16,75%
226000,0,1,0.2,0.24,0.26,0.3,75.3333%
227000,0,1,0.4,0.12,0.14,0.34,75.6667%
228000,0.8,0.2,0.14,0.22,0.34,0.3,76%
229000,0.9,0.1,0.16,0.22,0.28,0.34,76.3333%
230000,1,0,0.2,0.24,0.2,0.36,76.6667%
231000,0,1,0.22,0.38,0.18,0.22,77%
232000,0,1,0.26,0.24,0.26,0.24,77.3333%
233000,0,1,0.12,0.38,0.28,0.22,77.6667%
234000,0,1,0.22,0.24,0.26,0.28,78%
235000,0.5,0.5,0.2,0.22,0.28,0.3,78.3333%
236000,0.8,0.2,0.24,0.3,0.16,0.3,78.6667%
237000,0.9,0.1,0.22,0.24,0.24,0.3,79%
238000,0,1,0.24,0.3,0.22,0.24,79.3333%
239000,0,1,0.28,0.26,0.16,0.3,79.6667%
240000,0.6,0.4,0.22,0.18,0.32,0.28,80%
241000,1,0,0.24,0.24,0.22,0.3,80.3333%
242000,0.9,0.1,0.14,0.22,0.32,0.32,80.6667%
243000,1,0,0.3,0.3,0.18,0.22,81%
244000,1,0,0.18,0.28,0.18,0.36,81.3333%
245000,0,1,0.38,0.14,0.22,0.26,81.6667%
246000,1,0,0.22,0.24,0.26,0.28,82%
247000,1,0,0.2,0.18,0.32,0.3,82.3333%
248000,0.2,0.8,0.4,0.22,0.14,0.24,82.6667%
249000,1,0,0.32,0.3,0.16,0.22,83%
250000,1,0,0.26,0.24,0.2,0.3,83.3333%
251000,1,0,0.3,0.26,0.2,0.24,83.6667%
252000,0,1,0.32,0.08,0.36,0.24,84%
253000,1,0,0.3,0.26,0.2,0.24,84.3333%
254000,1,0,0.2,0.22,0.32,0.26,84.6667%
255000,0,1,0.34,0.16,0.26,0.24,85%
256000,1,0,0.2,0.22,0.44,0.14,85.3333%
257000,1,0,0.32,0.2,0.32,0.16,85.6667%
258000,1,0,0.26,0.14,0.3,0.3,86%
259000,0.9,0.1,0.22,0.28,0.32,0.18,86.3333%
260000,1,0,0.2,0.26,0.3,0.24,86.6667%
261000,0,1,0.26,0.16,0.32,0.26,87%
262000,1,0,0.42,0.12,0.24,0.22,87.3333%
263000,0,1,0.34,0.16,0.26,0.24,87.6667%
264000,0.7,0.3,0.16,0.38,0.26,0.2,88%
265000,0,1,0.26,0.3,0.2,0.24,88.3333%
266000,0.5,0.5,0.22,0.32,0.22,0.24,88.6667%
267000,0,1,0.3,0.28,0.18,0.24,89%
268000,1,0,0.26,0.26,0.18,0.3,89.3333%
269000,1,0,0.2,0.18,0.22,0.4,89.6667%
270000,1,0,0.32,0.26,0.16,0.26,90%
271000,1,0,0.28,0.3,0.22,0.2,90.3333%
272000,0.2,0.8,0.22,0.22,0.26,0.3,90.6667%
273000,0,1,0.22,0.32,0.18,0.28,91%
274000,0,1,0.26,0.32,0.16,0.26,91.3333%
275000,0,1,0.14,0.26,0.24,0.36,91.6667%
276000,1,0,0.36,0.22,0.26,0.16,92%
277000,0.1,0.9,0.2,0.28,0.3,0.22,92.3333%
278000,0,1,0.28,0.32,0.22,0.18,92.6667%
279000,0.3,0.7,0.28,0.2,0.36,0.16,93%
280000,0.9,0.1,0.24,0.18,0.28,0.3,93.3333%
281000,1,0,0.34,0.22,0.16,0.28,93.6667%
282000,1,0,0.24,0.32,0.26,0.18,94%
283000,0.6,0.4,0.14,0.28,0.28,0.3,94.3333%
284000,0,1,0.36,0.16,0.28,0.2,94.6667%
285000,0,1,0.26,0.2,0.16,0.38,95%
286000,0.7,0.3,0.24,0.24,0.28,0.24,95.3333%
287000,0,1,0.28,0.38,0.14,0.2,95.6667%
288000,0,1,0.24,0.38,0.16,0.22,96%
289000,0.4,0.6,0.34,0.2,0.22,0.24,96.3333%
290000,0,1,0.28,0.24,0.28,0.2,96.6667%
291000,0.1,0.9,0.26,0.24,0.32,0.18,97%
292000,0.8,0.2,0.26,0.28,0.32,0.14,97.3333%
293000,1,0,0.16,0.3,0.3,0.24,97.6667%
294000,1,0,0.28,0.2,0.26,0.26,98%
295000,1,0,0.22,0.24,0.26,0.28,98.3333%
296000,1,0,0.32,0.18,0.24,0.26,98.6667%
297000,1,0,0.12,0.28,0.34,0.26,99%
298000,1,0,0.26,0.28,0.2,0.26,99.3333%
299000,1,0,0.2,0.22,0.18,0.4,99.6667%
300000,0,1,0.22,0.24,0.28,0.26,100%
