Generation,Honest,Corrupt,OptimisticCooperator,PrudentCooperator,OptimisticDefector,PrudentDefector,Completion
136000,0,1,0.2,0.24,0.32,0.24,45.3333%
137000,1,0,0.28,0.18,0.34,0.2,45.6667%
138000,0.4,0.6,0.24,0.34,0.22,0.2,46%
139000,1,0,0.34,0.26,0.24,0.16,46.3333%
140000,0,1,0.34,0.2,0.18,0.28,46.6667%
141000,1,0,0.24,0.12,0.34,0.3,47%
142000,0,1,0.38,0.16,0.16,0.3,47.3333%
143000,1,0,0.26,0.28,0.28,0.18,47.6667%
144000,1,0,0.24,0.1,0.42,0.24,48%
145000,0.4,0.6,0.3,0.26,0.24,0.2,48.3333%
146000,0,1,0.2,0.26,0.2,0.34,48.6667%
147000,0,1,0.26,0.22,0.24,0.28,49%
148000,1,0,0.26,0.22,0.26,0.26,49.3333%
149000,0.2,0.8,0.28,0.22,0.2,0.3,49.6667%
150000,0.9,0.1,0.18,0.22,0.36,0.24,50%
151000,0,1,0.32,0.1,0.32,0.26,50.3333%
152000,0,1,0.26,0.26,0.28,0.2,50.6667%
153000,1,0,0.12,0.32,0.34,0.22,51%
154000,0,1,0.26,0.26,0.3,0.18,51.3333%
155000,0.5,0.5,0.24,0.18,0.3,0.28,51.6667%
156000,0.5,0.5,0.22,0.38,0.24,0.16,52%
157000,0.9,0.1,0.22,0.3,0.18,0.3,52.3333%
158000,1,0,0.2,0.32,0.24,0.24,52.6667%
159000,1,0,0.24,0.34,0.22,0.2,53%
160000,1,0,0.24,0.1,0.38,0.28,53.3333%
161000,0,1,0.34,0.28,0.16,0.22,53.6667%
162000,1,0,0.2,0.22,0.16,0.42,54%
163000,0,1,0.12,0.26,0.34,0.28,54.3333%
164000,0.9,0.1,0.24,0.32,0.2,0.24,54.6667%
165000,1,0,0.18,0.26,0.28,0.28,55%
166000,0.7,0.3,0.26,0.24,0.24,0.26,55.3333%
167000,0.4,0.6,0.32,0.12,0.3,0.26,55.6667%
168000,0.3,0.7,0.28,0.22,0.34,0.16,56%
169000,0,1,0.24,0.32,0.3,0.14,56.3333%
170000,0.1,0.9,0.26,0.24,0.3,0.2,56.6667%
171000,0.9,0.1,0.2,0.3,0.3,0.2,57%
172000,0,1,0.28,0.24,0.28,0.2,57.3333%
173000,0.5,0.5,0.26,0.2,0.28,0.26,57.6667%
174000,1,0,0.34,0.3,0.2,0.16,58%
175000,1,0,0.26,0.26,0.22,0.26,58.3333%
176000,0,1,0.16,0.32,0.18,0.34,58.6667%
177000,1,0,0.2,0.3,0.34,0.16,59%
178000,0,1,0.14,0.4,0.22,0.24,59.3333%
179000,0,1,0.32,0.26,0.34,0.08,59.6667%
180000,0,1,0.14,0.34,0.24,0.28,60%
181000,1,0,0.16,0.3,0.28,0.26,60.3333%
182000,0.9,0.1,0.3,0.24,0.3,0.16,60.6667%
183000,0.1,0.9,0.34,0.22,0.2,0.24,61%
184000,0.1,0.9,0.32,0.26,0.24,0.18,61.3333%
185000,0,1,0.26,0.2,0.36,0.18,61.6667%
186000,1,0,0.3,0.24,0.22,0.24,62%
187000,1,0,0.24,0.14,0.4,0.22,62.3333%
188000,1,0,0.2,0.3,0.2,0.3,62.6667%
189000,0.3,0.7,0.12,0.34,0.28,0.26,63%
190000,0.5,0.5,0.18,0.34,0.24,0.24,63.3333%
191000,0,1,0.18,0.22,0.26,0.34,63.6667%
192000,0.8,0.2,0.3,0.32,0.2,0.18,64%
193000,0.7,0.3,0.28,0.32,0.18,0.22,64.3333%
194000,0.9,0.1,0.16,0.2,0.28,0.36,64.6667%
195000,1,0,0.44,0.18,0.22,0.16,65%
196000,0,1,0.32,0.2,0.26,0.22,65.3333%
197000,0,1,0.26,0.3,0.26,0.18,65.6667%
198000,1,0,0.24,0.24,0.3,0.22,66%
199000,0.2,0.8,0.24,0.18,0.16,0.42,66.3333%
200000,0,1,0.14,0.34,0.3,0.22,66.6667%
201000,0.9,0.1,0.24,0.22,0.3,0.24,67%
202000,0.1,0.9,0.12,0.34,0.3,0.24,67.3333%
203000,1,0,0.32,0.32,0.16,0.2,67.6667%
204000,0,1,0.36,0.22,0.2,0.22,68%
205000,0,1,0.22,0.24,0.24,0.3,68.3333%
206000,1,0,0.12,0.4,0.24,0.24,68.6667%
207000,0,1,0.32,0.28,0.26,0.14,69%
208000,0.2,0.8,0.22,0.24,0.24,0.3,69.3333%
209000,0,1,0.14,0.38,0.28,0.2,69.6667%
210000,0,1,0.4,0.12,0.18,0.3,70%
211000,1,0,0.14,0.16,0.38,0.32,70.3333%
212000,0,1,0.24,0.32,0.22,0.22,70.6667%
213000,0,1,0.22,0.22,0.18,0.38,71%
214000,0,1,0.3,0.22,0.24,0.24,71.3333%
215000,1,0,0.24,0.34,0.28,0.14,71.6667%
216000,0.2,0.8,0.28,0.22,0.26,0.24,72%
217000,1,0,0.26,0.22,0.28,0.24,72.3333%
218000,0.9,0.1,0.34,0.18,0.2,0.28,72.6667%
219000,0.6,0.4,0.3,0.18,0.22,0.3,73%
220000,0.8,0.2,0.4,0.24,0.1,0.26,73.3333%
221000,0,1,0.3,0.28,0.2,0.22,73.6667%
222000,1,0,0.28,0.22,0.22,0.28,74%
223000,1,0,0.24,0.18,0.28,0.3,74.3333%
224000,0.1,0.9,0.16,0.22,0.28,0.34,74.6667%
225000,0,1,0.32,0.22,0.2,0.26,75%
226000,0,1,0.3,0.24,0.16,0.3,75.3333%
227000,0.5,0.5,0.2,0.26,0.24,0.3,75.6667%
228000,0.8,0.2,0.18,0.22,0.28,0.32,76%
229000,0.4,0.6,0.22,0.28,0.28,0.22,76.3333%
230000,0,1,0.26,0.28,0.32,0.14,76.6667%
231000,1,0,0.16,0.24,0.36,0.24,77%
232000,0.7,0.3,0.28,0.24,0.2,0.28,77.3333%
233000,1,0,0.24,0.24,0.18,0.34,77.6667%
234000,0,1,0.3,0.28,0.24,0.18,78%
235000,0.9,0.1,0.22,0.3,0.24,0.24,78.3333%
236000,0,1,0.24,0.26,0.22,0.28,78.6667%
237000,0,1,0.1,0.3,0.34,0.26,79%
238000,0,1,0.28,0.34,0.22,0.16,79.3333%
239000,0.1,0.9,0.32,0.24,0.32,0.12,79.6667%
240000,0,1,0.22,0.18,0.36,0.24,80%
241000,1,0,0.3,0.22,0.2,0.28,80.3333%
242000,0.8,0.2,0.26,0.18,0.32,0.24,80.6667%
243000,0,1,0.22,0.32,0.32,0.14,81%
244000,0.9,0.1,0.26,0.26,0.14,0.34,81.3333%
245000,0,1,0.34,0.2,0.28,0.18,81.6667%
246000,0,1,0.24,0.26,0.26,0.24,82%
247000,0,1,0.28,0.26,0.26,0.2,82.3333%
248000,0,1,0.22,0.36,0.28,0.14,82.6667%
249000,0,1,0.18,0.22,0.26,0.34,83%
250000,0,1,0.3,0.26,0.18,0.26,83.3333%
251000,1,0,0.18,0.24,0.34,0.24,83.6667%
252000,0,1,0.16,0.34,0.26,0.24,84%
253000,0.9,0.1,0.22,0.22,0.28,0.28,84.3333%
254000,0.9,0.1,0.22,0.36,0.2,0.22,84.6667%
255000,0.2,0.8,0.36,0.16,0.26,0.22,85%
256000,1,0,0.28,0.18,0.26,0.28,85.3333%
257000,1,0,0.22,0.24,0.2,0.34,85.6667%
258000,1,0,0.26,0.22,0.28,0.24,86%
259000,1,0,0.18,0.34,0.26,0.22,86.3333%
260000,1,0,0.16,0.18,0.26,0.4,86.6667%
261000,0,1,0.26,0.34,0.12,0.28,87%
262000,1,0,0.16,0.2,0.26,0.38,87.3333%
263000,0,1,0.38,0.2,0.22,0.2,87.6667%
264000,0,1,0.14,0.32,0.28,0.26,88%
265000,0,1,0.28,0.26,0.16,0.3,88.3333%
266000,0,1,0.18,0.36,0.3,0.16,88.6667%
267000,0.9,0.1,0.2,0.32,0.28,0.2,89%
268000,0.1,0.9,0.2,0.3,0.16,0.34,89.3333%
269000,0.1,0.9,0.38,0.34,0.16,0.12,89.6667%
270000,0,1,0.34,0.2,0.26,0.2,90%
271000,1,0,0.28,0.26,0.22,0.24,90.3333%
272000,1,0,0.28,0.24,0.26,0.22,90.6667%
273000,1,0,0.2,0.36,0.2,0.24,91%
274000,1,0,0.24,0.12,0.38,0.26,91.3333%
275000,0.1,0.9,0.28,0.26,0.3,0.16,91.6667%
276000,0,1,0.22,0.26,0.28,0.24,92%
277000,0,1,0.3,0.26,0.14,0.3,92.3333%
278000,0,1,0.26,0.18,0.36,0.2,92.6667%
279000,1,0,0.28,0.2,0.22,0.3,93%
280000,1,0,0.3,0.14,0.22,0.34,93.3333%
281000,1,0,0.16,0.3,0.18,0.36,93.6667%
282000,0,1,0.2,0.28,0.26,0.26,94%
283000,0,1,0.2,0.2,0.14,0.46,94.3333%
284000,0,1,0.26,0.28,0.2,0.26,94.6667%
285000,0,1,0.24,0.24,0.28,0.24,95%
286000,0,1,0.14,0.34,0.26,0.26,95.3333%
287000,0,1,0.18,0.3,0.28,0.24,95.6667%
288000,0,1,0.16,0.28,0.4,0.16,96%
289000,1,0,0.18,0.22,0.3,0.3,96.3333%
290000,0.9,0.1,0.32,0.1,0.26,0.32,96.6667%
291000,1,0,0.24,0.2,0.3,0.26,97%
292000,1,0,0.2,0.24,0.32,0.24,97.3333%
293000,1,0,0.4,0.2,0.2,0.2,97.6667%
294000,1,0,0.3,0.32,0.14,0.24,98%
295000,0,1,0.3,0.24,0.38,0.08,98.3333%
296000,0,1,0.2,0.18,0.38,0.24,98.6667%
297000,1,0,0.32,0.16,0.3,0.22,99%
298000,0.1,0.9,0.2,0.14,0.24,0.42,99.3333%
299000,1,0,0.18,0.22,0.32,0.28,99.6667%
300000,0,1,0.3,0.2,0.18,0.32,100%
